2026/08/18 20:47:49 Database: Menggunakan password terenkripsi (DB_PASSWORD_ENCRYPTED).
2026/08/18 20:47:49 Database TRACE_LEVEL=1: API Request Log Only (SQL Logging OFF)
2026/08/18 20:47:49 Database connection successfully established with optimized Connection Pool (Max 200 Conns).
=================================================================
🚀 LMS BACKEND v2.0 - SECURITY & RBAC ENFORCEMENT ACTIVE 🚀
=================================================================
2026/08/18 20:47:49 SECURITY CHECK: RBACRoleMenuMiddleware and AuthMiddleware loaded successfully.
2026/08/18 20:47:49 [LMS-API-LOG] Gin HTTP logger active (TRACE_LEVEL=1)
2026/08/18 20:47:49 [PRODUCT-CACHE] Cache diperbarui: 4 produk dimuat.
2026/08/18 20:47:49 Starting HTTPS server on port 8086 using cert ./sertifikat/lims.local+2.pem and key ./sertifikat/lims.local+2-key.pem
2026/08/18 20:47:49 [PPROF] Starting Go profiler server on http://localhost:6060/debug/pprof
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,161 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,327 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,062 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        5,456 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,080 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,056 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,047 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,305 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,124 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,078 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,072 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,060 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,033 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,045 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,065 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,061 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        6,766 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,059 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,027 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,036 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,395 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,040 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,050 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,061 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,030 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,141 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,056 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,027 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,049 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        1,039 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,041 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,077 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,219 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,042 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        9,316 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,063 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,418 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,148 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,043 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |       10,444 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,216 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,047 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,210 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,059 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,025 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,181 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,067 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,119 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        4,545 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        3,225 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,095 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,054 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,091 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,062 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,073 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,075 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,252 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,063 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,236 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,353 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,046 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |       13,312 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        1,028 | <300ms | GET /api/products
