2026-08-24 06:14:20, 200, 100001, 5, 2026-08-24, 125000, 1, SUBMITTED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:14:20, 200, 100001, 5, 2026-08-24, 125000, 1, APPROVED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:14:21, 200, 100001, 5, 2026-08-24, 125000, 1, DISBURSED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:16:33, 200, 100001, 0, 2026-08-24, 126250, 0, MANUAL_REPAYMENT, 100001, NONE
2026-08-24 06:34:31, 200, 100001, 5, 2026-08-24, 115000, 1, SUBMITTED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:34:31, 200, 100001, 5, 2026-08-24, 115000, 1, APPROVED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:34:31, 200, 100001, 5, 2026-08-24, 115000, 1, DISBURSED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:40:04, 200, 100001, 5, 2026-08-24, 110000, 1, SUBMITTED, nur, NONE
2026-08-24 06:40:04, 200, 100001, 5, 2026-08-24, 110000, 1, APPROVED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:40:04, 200, 100001, 5, 2026-08-24, 110000, 1, DISBURSED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:48:35, 200, 100001, 5, 2026-08-24, 80000, 1, SUBMITTED, nur, NONE
2026-08-24 06:48:35, 200, 100001, 5, 2026-08-24, 80000, 1, APPROVED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:48:35, 200, 100001, 5, 2026-08-24, 80000, 1, DISBURSED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 07:42:19, 200, 100002, 5, 2026-08-24, 115000, 1, SUBMITTED, 200002, NONE
2026-08-24 07:42:19, 200, 100002, 5, 2026-08-24, 115000, 1, APPROVED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 07:42:19, 200, 100002, 5, 2026-08-24, 115000, 1, DISBURSED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 09:03:36, 1787537016734317304, 200, 100001, 8, 2026-08-24, 80000, 1, SUBMITTED, nur, Administrator, ***POTENTIAL RISK***
2026-08-24 09:03:36, 1787537016734317304, 200, 100001, 8, 2026-08-24, 80000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-24 09:03:36, 1787537016734317304, 200, 100001, 8, 2026-08-24, 80000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-24 09:27:14, 1787538434305810900, 200, 100001, 8, 2026-08-24, 95000, 1, SUBMITTED, nur, Administrator, ***POTENTIAL RISK***
2026-08-24 09:27:14, 1787538434305810900, 200, 100001, 8, 2026-08-24, 95000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-24 09:27:14, 1787538434305810900, 200, 100001, 8, 2026-08-24, 95000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-24 09:40:41, 1787539241151709376, 200, 100001, 8, 2026-08-24, 98000, 1, SUBMITTED, nur, Administrator, ***POTENTIAL RISK***
2026-08-24 09:40:41, 1787539241151709376, 200, 100001, 8, 2026-08-24, 98000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-24 09:40:41, 1787539241151709376, 200, 100001, 8, 2026-08-24, 98000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-24 09:54:12, 1787540052628828389, 200, 100001, 8, 2026-08-24, 99000, 1, SUBMITTED, nur, Administrator, ***POTENTIAL RISK***
2026-08-24 09:54:12, 1787540052628828389, 200, 100001, 8, 2026-08-24, 99000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-24 09:54:12, 1787540052628828389, 200, 100001, 8, 2026-08-24, 99000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-24 10:00:25, 1787540425547678080, 200, 100001, 8, 2026-08-24, 97000, 1, SUBMITTED, nur, Administrator, ***POTENTIAL RISK***
2026-08-24 10:00:25, 1787540425547678080, 200, 100001, 8, 2026-08-24, 97000, 1, APPROVED, nur, Administrator, 
2026-08-24 10:00:25, 1787540425547678080, 200, 100001, 8, 2026-08-24, 97000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-24 10:25:08, 1787541908779150484, 200, 100001, 8, 2026-08-24, 94000, 1, SUBMITTED, nur, Administrator, ***POTENTIAL RISK***
